ApprovedSymbol	Type	Pair.Evidence	F5.PrimaryCells.Expression_Max	Adipocyte Breast	Adipocyte Omental	Adipocyte Perirenal	Adipocyte Subcutaneous	Alveolar Epithelial	Amniotic Epithelial	Amniotic Membrane	Annulus Pulposus	Astrocyte Cerebellum	Astrocyte Cerebral Cortex	Basophils	Bronchial Epithelial	CD133+ Haematopoietic stem cell	CD14+ Monocyte derived Endothelial progenitor	CD14+ Monocytes	CD14+CD16+ Monocytes	CD14+CD16- Monocytes	CD14-CD16+ Monocytes	CD19+ B cells	CD34+ Haematopoietic stem cell	CD34+ progenitor	CD4+ T cells	CD4+CD25+CD45RA+ naive regulatory T cells	CD4+CD25+CD45RA- memory regulatory T cells	CD4+CD25-CD45RA+ naive conventional T cells	CD4+CD25-CD45RA- memory conventional T cells	CD8+ T cells	Cardiac Myocyte	Chondroblast	Chondrocyte	Chorionic Membrane	Ciliary Epithelial	Corneal Epithelial	Dendritic Monocyte Immature derived	Dendritic Plasmacytoid	ES cells	Endothelial Aortic	Endothelial Artery	Endothelial Lymphatic	Endothelial Microvascular	Endothelial Thoracic	Endothelial Umbilical Vein	Endothelial Vein	Eosinophils	Esophageal Epithelial	Fibroblast Aortic Adventitial	Fibroblast Cardiac	Fibroblast Choroid Plexus	Fibroblast Conjunctival	Fibroblast Dermal	Fibroblast Gingival	Fibroblast Lymphatic	Fibroblast Periodontal Ligament	Fibroblast Pulmonary Artery	Fibroblast Skin Normal	Gingival Epithelial	Granulocyte Macrophage progenitor	Hair Follicle Dermal Papilla	Hair Follicle Outer Root Sheath	Hepatic Sinusoidal Endothelial	Hepatic Stellate	Hepatocyte	Immature Langerhans	Intestinal Epithelial (polarized)	Iris Pigment Epithelial	Keratinocyte Epidermal	Keratinocyte Oral	Keratocytes	Lens Epithelial	Macrophage Monocyte derived	Mallassez derived	Mammary Epithelial	Mast cells	Mast cells stimulated	Mature Adipocyte	Melanocyte	Meningeal	Mesenchymal precursor Adipose	Mesenchymal precursor Bone Marrow	Mesenchymal precursor Cardiac	Mesenchymal stem cell Adipose	Mesenchymal stem cell Amniotic Membrane	Mesenchymal stem cell Bone Marrow	Mesenchymal stem cell Hepatic	Mesenchymal stem cell Umbilical	Mesenchymal stem cell Wharton's Jelly	Mesothelial	Migratory Langerhans	Multipot. Cord Blood Unrestrict. Somatic stem cell	Myoblast	Myotube	NK cells	Nasal Epithelial	Neural stem cell	Neurons	Neutrophils	Nucleus Pulposus	Olfactory Epithelial	Osteoblast	Osteocyte	Pancreatic Stromal	Pericytes	Placental Epithelial	Preadipocyte Breast	Preadipocyte Omental	Preadipocyte Perirenal	Preadipocyte Subcutaneous	Preadipocyte Visceral	Prostate Epithelial	Prostate Stromal	Renal Cortical Epithelial	Renal Epithelial	Renal Glomerular Endothelial	Renal Mesangial	Renal Proximal Tubular Epithelial	Reticulocyte	Retinal Pigment Epithelial	Salivary Acinar	Sebocyte	Sertoli	Skeletal Muscle	Skeletal Muscle Satellite	Small Airway Epithelial	Smooth Muscle Aortic	Smooth Muscle Brachiocephalic	Smooth Muscle Brain Vascular	Smooth Muscle Bronchial	Smooth Muscle Carotid	Smooth Muscle Colonic	Smooth Muscle Coronary Artery	Smooth Muscle Esophageal	Smooth Muscle Internal Thoracic Artery	Smooth Muscle Prostate	Smooth Muscle Pulmonary Artery	Smooth Muscle Subclavian Artery	Smooth Muscle Tracheal	Smooth Muscle Umbilical Artery	Smooth Muscle Umbilical Vein	Smooth Muscle Uterine	Synoviocyte	Tenocyte	Trabecular Meshwork	Tracheal Epithelial	Urothelial
ADAM9	ligand	literature supported	400.1	96.23	98.08	111.66	32.32	45.95	76.35	162.92	182.07	51.44	234.45	40.31	60.64	10.86	210.48	42.45	23.45	48.38	17.38	5.29	11.59	28.35	5.85	2.74	7.45	2.47	4.9	4.62	152.23	126.06	39.21	129.63	145.24	28.32	140.79	35.2	11.78	69.15	113.83	101.94	49.97	122.66	80.63	55.11	89.83	37.07	249.47	167.58	155.1	58.35	130.65	230.04	55.16	209.4	239.34	128.76	209.57	47.27	102.17	155.63	33.88	50.21	23	72.48	57.93	216.52	71.31	119.99	58.55	224.86	214.24	200.21	82.04	17.24	42.37	57.08	38.4	107.31	123.76	202.69	183.77	97.81	151.93	51.15	310.91	80.4	186.41	391.2	71.57	153.59	222.5	56.89	11.77	106.64	144.31	61.48	60.4	140.76	128.19	128.66	61.04	233.46	32.79	86	81.9	112.17	75.69	111.3	139.91	132.18	161	101.38	85.99	58.45	42.84	58.81	12.61	107.11	79.58	59.86	400.1	90.51	113.82	222.54	163.17	203.03	257.92	103.46	127.93	191.47	120.09	36.57	189.95	194.72	148.04	205.57	111.85	126.95	305.34	106.78	127.68	128.79	62.4	77.88	98.59
ADCYAP1	ligand	literature supported	65.9	0	0	0	0.84	0	0	0.08	0	4.56	0.14	0	0	0	0	0	0	0	0	0	0.79	1.12	0	0	0	0	0	0	0.31	0	0	0	0.1	0	0	0	0.12	0	0	0	0	0	0	0.06	0	0	0.24	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.9	30.55	0.69	0.01	0	0	0	0	0	0.13	0	0	0	0	3.57	0.04	0	0	0	0	0	3.38	10.08	0	0	0	0	0.34	0.09	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0.06	0.15	0	0	0.13	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	0	0	0
ADIPOQ	ligand	literature supported	3154.62	448.98	390.58	5.23	1585.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0.73	0	0	0.49	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	1.79	0	0	3154.62	50.59	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0.5	0	0.18	15.97	0	0	0.1	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0.04	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADM	ligand	literature supported	1413.33	666.96	546.4	684.79	318.3	105.6	51.28	218.87	258.43	117.72	11.39	82.82	31.77	2.94	34.51	125.23	16.19	22.99	25.03	1.86	1.32	10.65	0.8	0.53	0	0.08	0.09	1	209.15	303.94	107.17	1402.45	27.43	118.31	9.13	1.95	30.3	78.73	47.82	162.83	168.15	63.14	36.12	67.87	642.69	149.14	64.35	55.93	342.8	274.16	131.11	323.06	375.34	246.44	56.04	561.86	30.59	5.11	1043.45	1413.33	91.31	133.39	52.11	24.22	90.27	256.49	46.99	33.15	255.11	101.83	33.12	40.18	38.07	12.48	0.49	743.83	21.18	457.56	157.79	489.98	50.99	703.04	195.78	107.41	196.29	102.95	6.46	69.86	5.49	14.64	217.71	155.54	4.68	130.31	63.14	10.05	225.85	275.97	466.92	71.82	156.26	485.59	333.85	72.02	386.21	348.34	731.7	121.69	102.84	130.92	189.31	66.37	36.2	77.2	50.99	33.48	18.81	15.06	45.53	56.88	324.58	106.71	217.41	86.28	71.72	58.66	203.06	247.15	130.15	372.3	46.95	413.03	169	167.16	101.71	107.71	288.02	82.74	106.69	168.16	942.17	455.7	222.2	42.72	108.29
ADM2	ligand	literature supported	73.11	17.84	16.4	9.6	8.33	20.14	6.16	0.62	0.62	6.12	0.7	0.57	18.56	0.59	0.19	0.86	0	0	0	0.47	0	2.24	1.72	1.02	0.65	1.28	0.52	0.94	5.51	15.64	11.85	3.08	0.83	16.5	0	1.22	5.86	2.16	0.69	0.33	4.79	0.81	0.37	0.82	0	11.77	12.12	10.77	3.6	73.11	2.73	15.76	46.33	10.17	4.88	17.18	1.37	0	2.64	0	3.51	3.76	15.12	0	4.67	1.72	17.22	3.8	25.38	5.34	0.21	0.52	12.71	0.49	0.49	0.14	1.26	4.23	10.86	3.1	13.56	11.92	11.87	0.44	12.97	7.25	12.54	0.17	6.13	36.2	1.36	16.83	1.01	21.55	2.08	0.54	1.69	4.33	21.17	6.42	33.24	3.13	3.53	20.37	29.32	20.36	14.84	3.37	0.57	12.65	16.7	10.27	6.09	2.19	5.91	11.65	0	4.73	2.75	11.56	20.89	5.91	2	47.64	2.2	4.47	1.64	13.95	7.33	1.66	3.5	3.9	8.33	15.99	7.91	5.03	1.74	4.43	8.01	4.61	11.67	1.6	28.24	19.6	14.43
AGRN	ligand	literature supported	370.01	3.68	7.18	8.72	3.34	186.06	69.11	77.35	15.1	70.09	62.82	1.45	115.46	1.47	7.53	1.2	0.28	1.32	0.23	0.04	1.58	1.6	0.27	0.21	0.43	1.04	0.47	0.35	12.73	18.18	21.25	88.36	69.64	190.09	38.06	0.47	35.79	39.92	49.37	48.46	78.69	63.76	12.24	27.07	5.85	235.49	19.57	65.33	78.63	6.09	4.77	28.64	38.04	10.68	23.48	18.29	151.87	3.83	27.13	0.59	70.9	50.51	12.86	55.87	30.99	65.71	98.84	130.46	28.51	94.87	30.41	100.65	85.64	3.05	0.99	2.62	44.99	17.88	13.8	12.52	17.22	30.52	64.66	9.15	50.56	26.74	48.61	94.43	33.57	45.2	7.7	51.46	0.45	98.73	38.04	17.98	0.53	17.27	41.05	11.54	14.14	19.72	99.25	43.78	7.05	16.22	7.42	15.6	23.36	101.73	32.61	197.12	317.21	83.33	370.01	191.69	4.11	121.05	55.85	137.01	44.99	13.87	8.8	144.45	41.24	18.21	30.8	21.37	23.88	22.09	24.46	81.43	47.77	34.64	18.08	28	16.49	29.64	33.41	15.61	17.57	7.53	13.15	110.46	232.3
AGRP	ligand	literature supported	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGT	ligand	literature supported	4286.8	11.91	19.7	10.47	65.9	0.25	0	0	3.95	8.56	1.21	0	0	0.59	0	0	0	0	0	0	1.05	0	0	0	0	0	0	0	1.07	4.93	3.72	0.03	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.21	3.48	0.7	0.02	0.34	0	0.28	0.11	0.66	0	0	0	0.23	0	23.81	4286.8	0	216.71	0.17	0	0	0.16	0.23	0	0.11	0.26	0.14	0	14.99	2.7	0.11	0	1.59	1.13	5.88	5.55	0.09	0	0	0.52	0	0.04	52.41	2.29	4.36	0	0	33.58	6.51	0	28.84	0.62	0.09	6.55	0.35	5.19	0.2	4.14	6.74	2.97	0	0.13	16.6	5.25	0.27	2.08	0	1.02	1.23	0	0.3	6.44	0	0	8.11	8.86	0	0	0	0.81	0.6	0	28.45	0	2.44	0	1.05	0	0	8.28	0	0.19	1.06	0.75	7.51	0.17	0	0
AHSG	ligand	literature supported	1854.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	1854.64	0	688.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALB	ligand	literature supported	85485.22	0	0	0	0	0	0	0.4	0	0	0.08	0.46	0	0	0	0	0.07	0.09	0	0.12	0	0.28	0	0	0	0.05	0.06	0.04	0	0.05	0	0	0	0	0	0.12	0	0	0	0	0	0	0.03	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32	85485.22	0	6213.13	0	0	0	0	0	0	0	0	0.13	0	0	0.24	0	0	0	0	0	0	0	0.54	0	0	0	0.09	0	0.1	0	0	6.53	0.65	1.86	0	0	0	0	0.34	0	0	0.4	0	0	0	0.08	0.08	88.51	0.04	0	0.04	0.05	0	0	0.33	0.17	0	0	0	0	0.04	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0.03	0.11
AMELX	ligand	literature supported	not found in FANTOM5																																																																																																																																																
AMELY	ligand	literature supported	not found in FANTOM5																																																																																																																																																
AMH	ligand	literature supported	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
