Species,Tissue,Cell Type,Cancer,Cell Marker,Source,Supported Sources,Details,gene symbol,title,PMID,journal,reference paper type
Human,Peripheral blood,Endothelial cell,Normal,"CDH5, SELE, VWF",Single-cell sequencing,1,more details,"CDH5, SELE, VWF",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Fibroblast,Normal,"COL1A1, COL3A1, FAP, THY1",Single-cell sequencing,1,more details,"COL1A1, COL3A1, FAP, THY1",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Macrophage,Normal,"CD14, CD163, CD68, CSF1R, FCGR3A",Single-cell sequencing,1,more details,"CD14, CD163, CD68, CSF1R, FCGR3A",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Megakaryocyte progenitor cell,Normal,"PF4, PLA2G12A, PPBP",Single-cell sequencing,1,more details,"PF4, PLA2G12A, PPBP",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Monocyte derived dendritic cell,Normal,"CD1C, CST3, FCER1A",Single-cell sequencing,1,more details,"CD1C, CST3, FCER1A",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Naive CD4+ T cell,Normal,"ABLIM1, ACTN1, C1orf162, C6orf48, CCR7, CD55, EEF1B2, EIF3L, FAM117B, FHIT, GIMAP5, GIMAP8, GPR183, IL7R, LDLRAP1, LRRC75A-AS1, LRRN3, MAL, MYC, NELL2, NOSIP, PRKCA, RPS5, RSL1D1, SATB1, SERINC5, SLC40A1, SVIL, TCF7, TESPA1, TMEM204, TRABD2A, TSHZ2, TXK",Single-cell sequencing,1,more details,"ABLIM1, ACTN1, C1orf162, C6orf48, CCR7, CD55, EEF1B2, EIF3L, FAM117B, FHIT, GIMAP5, GIMAP8, GPR183, IL7R, LDLRAP1, NA, LRRN3, MAL, MYC, NELL2, NOSIP, PRKCA, RPS5, RSL1D1, SATB1, SERINC5, SLC40A1, SVIL, TCF7, TESPA1, TMEM204, TRABD2A, TSHZ2, TXK",Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing.,28622514,Cell,Single-cell sequencing
Human,Peripheral blood,Naive CD8+ T cell,Normal,"ABLIM1, ACTN1, AIF1, APBA2, APEX1, ARHGAP45, ARHGEF18, ATM, BACH2, BEX4, C1orf162, C1orf228, C6orf48, CA6, CAMK4, CCR7, CD248, CD55, CEP68, COQ8A, DGKA, EEF2, EIF3E, EIF3L, EPHX2, EXOSC8, FAM102A, FAM117B, FAM60A, FKBP5, FOXP1, GAS5, GCSAM, GIMAP2, GLTSCR2, GPR155, GPR183, IGF1R, ITFG2, LDHB, LDLRAP1, LEF1, LEF1-AS1, LINC01550, LMO7, LRRC75A, LRRC75A-AS1, LRRN3, MAL, MAML2, MLXIP, MYC, NDFIP1, NELL2, NOG, NOSIP, NPAT, NPM1, NT5E, OXNAD1, PASK, PDE3B, PDK1, PIK3IP1, PLEKHB1, PRKCQ-AS1, PSIP1, R3HDM4, RACK1, RASGRP2, RCAN3, RIC3, RPS8, SCML4, SELL, SERINC5, SGSM3, SH3YL1, SMAP2, SNED1, SNURF, SPINT2, SPTBN1, STMN3, TCF7, THAP7, THEM4, TMEM123, TMEM204, TMEM63A, TNFSF8, TOMM7, TPCN1, TRABD2A, TRAP1, TRMT1, TXK, UBQLN2, VIPR1, WDR43, ZNF101",Single-cell sequencing,1,more details,"ABLIM1, ACTN1, AIF1, APBA2, APEX1, ARHGAP45, ARHGEF18, ATM, BACH2, BEX4, C1orf162, NA, C6orf48, CA6, CAMK4, CCR7, CD248, CD55, CEP68, COQ8A, DGKA, EEF2, EIF3E, EIF3L, EPHX2, EXOSC8, FAM102A, FAM117B, NA, FKBP5, FOXP1, NA, GCSAM, GIMAP2, NA, GPR155, GPR183, IGF1R, ITFG2, LDHB, LDLRAP1, LEF1, NA, NA, LMO7, LRRC75A, NA, LRRN3, MAL, MAML2, MLXIP, MYC, NDFIP1, NELL2, NOG, NOSIP, NPAT, NPM1, NT5E, OXNAD1, PASK, PDE3B, PDK1, PIK3IP1, PLEKHB1, NA, PSIP1, R3HDM4, RACK1, RASGRP2, RCAN3, RIC3, RPS8, SCML4, SELL, SERINC5, SGSM3, SH3YL1, SMAP2, SNED1, SNURF, SPINT2, SPTBN1, STMN3, TCF7, THAP7, THEM4, TMEM123, TMEM204, TMEM63A, TNFSF8, TOMM7, TPCN1, TRABD2A, TRAP1, TRMT1, TXK, UBQLN2, VIPR1, WDR43, ZNF101",Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing.,28622514,Cell,Single-cell sequencing
Human,Peripheral blood,Naive T cell,Normal,"CCR7, CD27, CD8A, CD8B",Single-cell sequencing,1,more details,"CCR7, CD27, CD8A, CD8B",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Natural killer cell,Normal,"CCL3, CD160, CD247, GNLY, GZMB, NKG7",Single-cell sequencing,1,more details,"CCL3, CD160, CD247, GNLY, GZMB, NKG7",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Natural killer cell,Normal,"FCGR3A, FCGR3B, KLRB1, KLRB1, KLRC1, KLRD1, KLRF1, KLRK1, NCAM1",Single-cell sequencing,1,more details,"FCGR3A, FCGR3B, KLRB1, KLRB1, KLRC1, KLRD1, KLRF1, KLRK1, NCAM1",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Natural killer T (NKT) cell,Normal,"CD8A, CD8B, ZNF683",Single-cell sequencing,1,more details,"CD8A, CD8B, ZNF683",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Plasmacytoid dendritic cell,Normal,"CD123, GZMB",Single-cell sequencing,1,more details,"IL3RA, GZMB",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,pro-Natural killer cell (pro-NK cell),Normal,ID2,Single-cell sequencing,1,more details,ID2,dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"ANXA2P2, ATP2B1, B3GNT2, BIRC3, CASP2, CCDC141, CCM2, CCR10, CCR4, CCR8, CLDND1, CORO7, CORO7-PAM16, CPNE2, ELK3, F5, FAM110A, FANK1, FCMR, FCRL3, FOXP3, GLRX, HAPLN3, HPGD, IKZF2, IL10RA, IL2RA, ISG20, LMNA, METTL7A, PDP1, PI16, REREP3, RNF214, RTKN2, SAMHD1, SELPLG, SNX20, STAM, TBC1D4, TLDC2, TRIM16, TTC39C, TTN, USP15",Single-cell sequencing,1,more details,"NA, ATP2B1, B3GNT2, BIRC3, CASP2, CCDC141, CCM2, CCR10, CCR4, CCR8, CLDND1, CORO7, CORO7-PAM16, CPNE2, ELK3, F5, FAM110A, FANK1, FCMR, FCRL3, FOXP3, GLRX, HAPLN3, HPGD, IKZF2, IL10RA, IL2RA, ISG20, LMNA, METTL7A, PDP1, PI16, NA, RNF214, RTKN2, SAMHD1, SELPLG, SNX20, STAM, TBC1D4, TLDC2, TRIM16, TTC39C, TTN, USP15",Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing.,28622514,Cell,Single-cell sequencing
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"CCR10, CD25, CD52, CMTM7, FOXP3",Single-cell sequencing,1,more details,"CCR10, IL2RA, CD52, CMTM7, FOXP3",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,"CD4, CTLA4, FOXP3, IL2RA",Single-cell sequencing,1,more details,"CD4, CTLA4, FOXP3, IL2RA",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,T cell,Normal,"CD27, CD28, CD3D, CD3E, CD3G",Single-cell sequencing,1,more details,"CD27, CD28, CD3D, CD3E, CD3G",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Cancer cell,Ovarian Cancer,"EpCAM, MCAM, WFDC2",Single-cell sequencing,1,more details,"EPCAM, MCAM, WFDC2",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Basophil,Normal,CD203c,Experiment,3,more details,ENPP3,The usefulness of CD203c expression measurement on basophils after activation with grass pollen and Dermatophagoides pteronyssinus antigens. Preliminary study,19468979,Pneumonol Alergol Pol,Experiment
Human,Peripheral blood,Cancer cell,Melanoma (circulating),"ABCB5, CD271, MCAM, MCSP",Experiment,2,more details,"ABCB5, NGFR, MCAM, SMCP",Monitoring changes in circulating tumour cells as a prognostic indicator of overall survival and treatment response in patients with metastatic melanoma.,24915896,BMC Cancer,Experiment
Human,Peripheral blood,B cell,Normal,CD19,Experiment,2,more details,CD19,DNA Methylation Dynamics of Human Hematopoietic Stem Cell Differentiation.,27867036,Cell Stem Cell,Experiment
Human,Peripheral blood,Basophil,Normal,"CD203c, CD63",Experiment,2,more details,"ENPP3, CD63",Activation of basophils is a new and sensitive marker of biocompatibility in hemodialysis.,24712758,Artif Organs,Experiment
Human,Peripheral blood,Basophil,Normal,CD63,Experiment,2,more details,CD63,Non-genomic inhibitory effect of glucocorticoids on activated peripheral blood basophils through suppression of lipid raft formation.;A novel tool for the detection of allergic sensitization combining protein microarrays with human basophils.,22943204;18028099,Clin Exp Immunol;Clin Exp Allergy,Experiment
Human,Peripheral blood,CD4+ T cell,Normal,CD4,Experiment,2,more details,CD4,Peripheral blood and granuloma CD4(+)CD28(-) T cells are a major source of interferon-gamma and tumor necrosis factor-alpha in Wegener's granulomatosis.;Imbalance of Th17 to Th1 cells in Behcet's disease.,12000723;20868565,Am J Pathol;Clin Exp Rheumatol,Experiment
Human,Peripheral blood,Endothelial progenitor cell,Normal,"CD133, KDR",Experiment,2,more details,"PROM1, KDR",Mobilization of endothelial progenitor cell in patients with acute ischemic stroke.;Circulating endothelial progenitor cells in Chinese patients with acute stroke.,29147957;19262489,Neurol Sci;Hypertens Res,Experiment
Human,Peripheral blood,Leukocyte,Normal,CD45,Experiment,2,more details,PTPRC,A humanized mouse model of tuberculosis.,23691024,PLoS One,Experiment
Human,Peripheral blood,Monocyte,Normal,CD14,Experiment,2,more details,CD14,Preeclampsia activates circulating immune cells with engagement of the NF-kappaB pathway.;Electron microscopic study of receptor mediated endocytosis of a monoclonal antibody (RoMo-1) against the surface marker CD 14 of human ,16836616;1706877,Am J Reprod Immunol;Acta Histochem Suppl,Experiment
Human,Peripheral blood,Natural killer cell,Normal,CD56,Experiment,2,more details,NCAM1,Immunocytochemical analysis of cellular infiltrates in human appendicitis.;DNA Methylation Dynamics of Human Hematopoietic Stem Cell Differentiation.,11193739;27867036,Surg Today;Cell Stem Cell,Experiment
Human,Peripheral blood,Non-switched memory B cell,Normal,"CD19, CD27, IgD",Experiment,2,more details,"CD19, CD27, IgD family",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.;Derailed B cell homeostasis in patients with mixed connective tissue disease.,27780620;23608739,Allergol Immunopathol (Madr);Hum Immunol,Experiment
Human,Peripheral blood,Regulatory T (Treg) cell,Normal,CD39,Experiment,2,more details,ENTPD1,Expression of FOXP3 in CD4+ CD39+ T cells of patients with systemic lupus erythematosus and dynamic observation of treatment with glucocorticoid;Phenotypical and functional characteristic of FoxP3(+);CD39(+); regulatory T cells in humans,19957514;20487644,Zhonghua Yi Xue Za Zhi;Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,Experiment
Human,Peripheral blood,Myeloid stem cell,Acute Myeloid Leukemia,human myeloid inhibitory C-lectin,Experiment,1,more details,-,Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.;Derailed B cell homeostasis in patients with mixed connective tissue disease.,27734526,Hematol Oncol,Experiment
Human,Peripheral blood,Cancer stem cell,Gastric Cancer,EpCAM,Experiment,1,more details,EPCAM,Targeting of cancer stem cell marker EpCAM by bispecific antibody EpCAMxCD3 inhibits pancreatic carcinoma.,20196789,J Cell Mol Med,Experiment
Human,Peripheral blood,Endothelial cell,Gastric Cancer,"CD133, CD31, CD34, CD45",Experiment,1,more details,"PROM1, PECAM1, CD34, PTPRC",Roles of circulating endothelial progenitor cells and endothelial cells in gastric carcinoma.,29391882,Oncol Lett,Experiment
Human,Peripheral blood,Endothelial progenitor cell,Gastric Cancer,"CD133, CD31, CD34, CD45",Experiment,1,more details,"PROM1, PECAM1, CD34, PTPRC",Roles of circulating endothelial progenitor cells and endothelial cells in gastric carcinoma.,29391882,Oncol Lett,Experiment
Human,Peripheral blood,Cancer stem cell,Leukemia,IL1RAP,Experiment,1,more details,IL1RAP,IL1RAP as a surface marker for leukemia stem cells is related to clinical phase of chronic myeloid leukemia patients.,25663975,Int J Clin Exp Med,Experiment
Human,Peripheral blood,Abnormal plasma cell,Multiple Myeloma,"CD138, CD38, CD56",Experiment,1,more details,"SDC1, CD38, NCAM1",Phenotype of plasma cells in multiple myeloma and monoclonal gammopathy of undetermined significance.,19728762,Neoplasma,Experiment
Human,Peripheral blood,Plasma cell,Multiple Myeloma,"CD138, CD19, CD38",Experiment,1,more details,"SDC1, CD19, CD38",Phenotype of plasma cells in multiple myeloma and monoclonal gammopathy of undetermined significance.,19728762,Neoplasma,Experiment
Human,Peripheral blood,Plasma cell,Multiple Myeloma,"CD19, CD38",Experiment,1,more details,"CD19, CD38",Multiple myeloma cells and cells of the human osteoclast lineage share morphological and cell surface markers.,9827701,J Cell Biochem,Experiment
Human,Peripheral blood,Plasma cell,Multiple Myeloma,CD38,Experiment,1,more details,CD38,Plasma cells in peripheral blood stem cell harvests from patients with multiple myeloma are predominantly polyclonal.,9257888,Bone Marrow Transplant,Experiment
Human,Peripheral blood,T cell,Non-small Cell Lung Cancer,CD3,Experiment,1,more details,"CD3D, CD3E, CD3G",Peripheral blood and tumor infiltrating lymphocytes in non-small cell lung cancer: analysis at the population and clonal level.,2175060,Tumori,Experiment
Human,Peripheral blood,Activated B cell,Normal,CD5,Experiment,1,more details,CD5,Cell surface antigen CD5 is a marker for activated human B cells.,2474446,Eur J Immunol,Experiment
Human,Peripheral blood,Activated B cell,Normal,TAGLN2,Experiment,1,more details,TAGLN2,Transgelin-2 is upregulated on activated B-cells and expressed in hyperplastic follicles in lupus erythematosus patients.,28910360,PLoS One,Experiment
Human,Peripheral blood,B cell,Normal,"CD19, CD20, CD21, CD24, CD27, CD38, CD45, CD5, IgD, IgM",Experiment,1,more details,"CD19, MS4A1, CR2, CD24, CD27, CD38, PTPRC, CD5, IgD family, CD40LG",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,B cell,Normal,"CD19, CD27, CD38, CD45, IgD, ZAP70",Experiment,1,more details,"CD19, CD27, CD38, PTPRC, IgD family, ZAP70",Memory B cell subsets and plasmablasts are lower in early than in long-standing rheumatoid arthritis.,25187226,BMC Immunol,Experiment
Human,Peripheral blood,B cell,Normal,"CD19, CD27, IgM",Experiment,1,more details,"CD19, CD27, CD40LG",Pivotal advance: CD45RB glycosylation is specifically regulated during human peripheral B cell differentiation.,21278234,J Leukoc Biol,Experiment
Human,Peripheral blood,B cell,Normal,CD74,Experiment,1,more details,CD74,Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning.,28263960,Nat Methods,Experiment
Human,Peripheral blood,B cell,Normal,Leu-12,Experiment,1,more details,CD19,Immunocytochemical analysis of cellular infiltrates in human appendicitis.,11193739,Surg Today,Experiment
Human,Peripheral blood,Basophil,Normal,"CD203c, CD63, CD69",Experiment,1,more details,"ENPP3, CD63, CD69",Evidence of in vivo basophil activation in chronic idiopathic urticaria.,16776678,Clin Exp Allergy,Experiment
Human,Peripheral blood,CD16+ dendritic cell,Normal,"CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,CD4-CD28- T cell,Normal,"BCL2, CD18, CD25, CD30, CD45RA, CD57, CD95, Perforin",Experiment,1,more details,"BCL2, ITGB2, IL2RA, TNFRSF8, PTPRC, B3GAT1, FAS, PRF1",Peripheral blood and granuloma CD4(+)CD28(-) T cells are a major source of interferon-gamma and tumor necrosis factor-alpha in Wegener's granulomatosis.,12000723,Am J Pathol,Experiment
Human,Peripheral blood,CD4-CD28+ T cell,Normal,"BCL2, CD18, CD25, CD30, CD45RA, CD57, CD95, Perforin",Experiment,1,more details,"BCL2, ITGB2, IL2RA, TNFRSF8, PTPRC, B3GAT1, FAS, PRF1",Peripheral blood and granuloma CD4(+)CD28(-) T cells are a major source of interferon-gamma and tumor necrosis factor-alpha in Wegener's granulomatosis.,12000723,Am J Pathol,Experiment
Human,Peripheral blood,CD4+ T cell,Normal,"CD4, LTB",Experiment,1,more details,"CD4, LTB",Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning.,28263960,Nat Methods,Experiment
Human,Peripheral blood,CD4+ T cell,Normal,GLUT1,Experiment,1,more details,SLC2A1,Increased glucose metabolic activity is associated with CD4+ T-cell activation and depletion during chronic HIV infection.,24335483,AIDS,Experiment
Human,Peripheral blood,CD8+ T cell,Normal,"CD3D, CD8, NKG7",Experiment,1,more details,"CD3D, CD8A, NKG7",Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning.,28263960,Nat Methods,Experiment
Human,Peripheral blood,Central memory T cell,Normal,"CD27, CD4, CD45RA, CD62L, CD8",Experiment,1,more details,"CD27, CD4, PTPRC, SELL, CD8A",Accumulation of effector memory CD8+ T cells in nasal polyps.,24119592,Am J Rhinol Allergy,Experiment
Human,Peripheral blood,Circulating fetal cell,Normal,CD71,Experiment,1,more details,TFRC,Applying a test system for discriminating fetal from maternal cells.,12913866,Prenat Diagn,Experiment
Human,Peripheral blood,Circulating precursor cell,Normal,"CD133, CD34, CD45",Experiment,1,more details,"PROM1, CD34, PTPRC",Prognostic significance of circulating and endothelial progenitor cell markers in type 2 diabetic foot.,24624298,Int J Vasc Med,Experiment
Human,Peripheral blood,Circulating progenitor cell,Normal,"ALDH, CD133, CD14, CD146, CD34",Experiment,1,more details,"ALDH family, PROM1, CD14, MCAM, CD34",Lower levels of circulating progenitor cells are associated with low physical function and performance in elderly men with impaired glucose tolerance: a pilot substudy from the VA Enhanced Fitness trial.,23682163,J Gerontol A Biol Sci Med Sci,Experiment
Human,Peripheral blood,Class-switched memory B cell,Normal,"CD19, CD27, IgD",Experiment,1,more details,"CD19, CD27, IgD family",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.,27780620,Allergol Immunopathol (Madr),Experiment
Human,Peripheral blood,Classical monocyte,Normal,"CD11b, CD11c, CD123, CD14, CD15, CD16, CD33, CD66b, HLA-DR",Experiment,1,more details,"ITGAM, ITGAX, IL3RA, CD14, FUT4, [FCGR3A, FCGR3B], CD33, CEACAM8, HLA-DR family",A method for identification and analysis of non-overlapping myeloid immunophenotypes in humans.,25799053,PLoS One,Experiment
Human,Peripheral blood,Cytotoxic T cell,Normal,"CD11b, CD8",Experiment,1,more details,"ITGAM, CD8A",T lymphocyte subsets in the peripheral blood in patients with primary biliary cirrhosis.,2589983,Arerugi,Experiment
Human,Peripheral blood,Cytotoxic T cell,Normal,Leu-2a,Experiment,1,more details,CD8A,Immunocytochemical analysis of cellular infiltrates in human appendicitis.,11193739,Surg Today,Experiment
Human,Peripheral blood,Dendritic cell,Normal,CD11c,Experiment,1,more details,ITGAX,Borrelia burgdorferi Induces TLR1 and TLR2 in human microglia and peripheral blood monocytes but differentially regulates HLA-class II expression.,16783164,J Neuropathol Exp Neurol,Experiment
Human,Peripheral blood,Dendritic cell,Normal,"CD80, CD86",Experiment,1,more details,"CD80, CD86",Impact of surgery and epirubicin intravesical chemotherapy on peripheral blood dendritic cell subsets in patients with superficial urothelial carcinoma of the bladder.,22613597,Chin Med J (Engl),Experiment
Human,Peripheral blood,Dendritic cell,Normal,"CD83, CD86, MHC class II",Experiment,1,more details,"CD83, CD86, MHC class II",Enhanced protocol for CD14+ cell enrichment from equine peripheral blood via anti-human CD14 mAb and automated magnetic activated cell sorting.,22994596,Equine Vet J,Experiment
Human,Peripheral blood,Dendritic cell,Normal,CD83,Experiment,1,more details,CD83,Polyactin A is a novel and potent immunological adjuvant for peptide-based cancer vaccine.,29112895,Int Immunopharmacol,Experiment
Human,Peripheral blood,Double-negative B cell,Normal,"CD19, CD27, IgD",Experiment,1,more details,"CD19, CD27, IgD family",Variations of B cell subpopulations in peripheral blood of healthy Mexican population according to age: Relevance for diagnosis of primary immunodeficiencies.,27780620,Allergol Immunopathol (Madr),Experiment
Human,Peripheral blood,Double-negative memory B cell,Normal,"CD19, CD27, IgD",Experiment,1,more details,"CD19, CD27, IgD family",Derailed B cell homeostasis in patients with mixed connective tissue disease.,23608739,Hum Immunol,Experiment
Human,Peripheral blood,Effector memory T cell,Normal,"CD27, CD4, CD45RA, CD62L, CD8",Experiment,1,more details,"CD27, CD4, PTPRC, SELL, CD8A",Accumulation of effector memory CD8+ T cells in nasal polyps.,24119592,Am J Rhinol Allergy,Experiment
Human,Peripheral blood,Effector T cell,Normal,"CD27, CD4, CD45RA, CD62L, CD8",Experiment,1,more details,"CD27, CD4, PTPRC, SELL, CD8A",Accumulation of effector memory CD8+ T cells in nasal polyps.,24119592,Am J Rhinol Allergy,Experiment
Human,Peripheral blood,Endothelial cell,Normal,"CD133, CD144, CD34, CD45",Experiment,1,more details,"PROM1, CDH5, CD34, PTPRC",Metformin improves circulating endothelial cells and endothelial progenitor cells in type 1 diabetes: MERIT study.,27561827,Cardiovasc Diabetol,Experiment
Human,Peripheral blood,Endothelial precursor cell,Normal,"CD31, KDR",Experiment,1,more details,"PECAM1, KDR",Prognostic significance of circulating and endothelial progenitor cell markers in type 2 diabetic foot.,24624298,Int J Vasc Med,Experiment
Human,Peripheral blood,Endothelial progenitor cell,Normal,"CD133, CD34, VEGFR-2",Experiment,1,more details,"PROM1, CD34, KDR","A Randomized, Controlled Pilot Study of the Effects of Acupuncture on Circulating Endothelial Progenitor Cells in Coronary Heart Disease.",26770089,Integr Med (Encinitas),Experiment
